FechaSalida,AnioSalida,MesSalida,DiaSalida,NumeroVuelo,AeropuertoSalida,AeropuertoLlegada,Ruta,TiempoVuelo,FuelTotal,Pasajeros,Maletas,PesoMaletas,PesoTotalTARGET
01/10/2016,2016,10,1,4904,FCO,PMO,FCO-PMO,42,2327,179,62,800,63816
01/10/2016,2016,10,1,4916,PMO,TRN,PMO-TRN,80,3440,180,30,390,63635
01/10/2016,2016,10,1,4932,PMO,BVA,PMO-BVA,132,5720,170,51,750,66827
01/10/2016,2016,10,1,4967,SUF,STN,SUF-STN,166,7250,177,73,950,68877
01/10/2016,2016,10,1,5093,SUF,BGY,SUF-BGY,85,3610,177,19,250,64324
01/10/2016,2016,10,1,5173,BLL,STN,BLL-STN,79,3350,168,43,560,63236
01/10/2016,2016,10,1,5214,HHN,BRI,HHN-BRI,103,4660,174,86,1120,68151
01/10/2016,2016,10,1,5215,BRI,HHN,BRI-HHN,106,4844,178,115,1499,66991
01/10/2016,2016,10,1,5234,MLA,NRN,MLA-NRN,154,6550,147,59,770,64832
01/10/2016,2016,10,1,5235,NRN,ACE,NRN-ACE,256,10980,172,108,1400,71870
01/10/2016,2016,10,1,5316,SCQ,MAD,SCQ-MAD,55,2420,180,24,310,64070
01/10/2016,2016,10,1,5318,SCQ,MAD,SCQ-MAD,53,2313,181,35,460,64469
01/10/2016,2016,10,1,5352,MAD,RBA,MAD-RBA,72,3392,144,72,940,63870
01/10/2016,2016,10,1,5355,IBZ,MAD,IBZ-MAD,50,2430,177,53,690,64650
01/10/2016,2016,10,1,5485,OPO,MAD,OPO-MAD,42,2130,171,29,380,63363
01/10/2016,2016,10,1,5599,HAU,ALC,HAU-ALC,202,8971,187,120,1560,70782
01/10/2016,2016,10,1,5713,FAO,HHN,FAO-HHN,150,6889,184,100,1299,69349
01/10/2016,2016,10,1,5775,GLA,DUB,GLA-DUB,35,1621,111,19,240,56832
01/10/2016,2016,10,1,5876,FAO,HHN,FAO-HHN,157,7165,180,117,1530,70183
01/10/2016,2016,10,1,5991,MAD,STN,MAD-STN,112,4712,172,56,730,64832
01/10/2016,2016,10,1,5994,STN,MAD,STN-MAD,126,5540,178,37,480,67807
01/10/2016,2016,10,1,6006,LIL,MRS,LIL-MRS,78,3490,164,20,260,64759
01/10/2016,2016,10,1,6253,PIK,LPA,PIK-LPA,267,11710,177,93,1210,72705
01/10/2016,2016,10,1,6254,LPA,PIK,LPA-PIK,258,11090,168,89,1160,70999
01/10/2016,2016,10,1,6316,CRL,MRS,CRL-MRS,80,3700,173,74,480,65848
01/10/2016,2016,10,1,6317,MRS,CRL,MRS-CRL,83,3598,166,45,590,63435
01/10/2016,2016,10,1,6324,MXP,SOF,MXP-SOF,100,4077,161,31,410,63290
01/10/2016,2016,10,1,6329,SOF,BCN,SOF-BCN,160,6500,176,58,750,67916
01/10/2016,2016,10,1,6341,BCN,FCO,BCN-FCO,76,3370,169,24,310,63381
01/10/2016,2016,10,1,6354,BGY,BCN,BGY-BCN,77,3190,176,11,140,63326
01/10/2016,2016,10,1,6373,ACE,BCN,ACE-BCN,158,6620,161,47,610,66265
01/10/2016,2016,10,1,6384,BCN,SDR,BCN-SDR,59,2630,157,14,180,63508
01/10/2016,2016,10,1,6391,GRO,NRN,GRO-NRN,101,4280,175,87,1130,65267
01/10/2016,2016,10,1,6446,CRL,SKG,CRL-SKG,146,6180,161,72,690,66374
01/10/2016,2016,10,1,6452,PMO,BGY,PMO-BGY,79,3640,167,17,220,65721
01/10/2016,2016,10,1,6532,OPO,MRS,OPO-MRS,103,4640,176,56,730,67517
01/10/2016,2016,10,1,6653,AGP,EDI,AGP-EDI,179,8158,179,84,1090,69294
01/10/2016,2016,10,1,6698,EDI,LPA,EDI-LPA,261,11480,186,128,1660,73956
01/10/2016,2016,10,1,6702,IBZ,BLQ,IBZ-BLQ,87,3730,173,52,680,64523
01/10/2016,2016,10,1,6703,IBZ,CIA,IBZ-CIA,84,3610,164,31,400,63199
01/10/2016,2016,10,1,6726,HHN,PSR,HHN-PSR,88,3506,184,47,620,63852
01/10/2016,2016,10,1,6874,BCN,DUB,BCN-DUB,136,5900,169,69,900,65757
01/10/2016,2016,10,1,6875,DUB,BCN,DUB-BCN,126,5380,181,104,1352,65957
01/10/2016,2016,10,1,6912,MST,GRO,MST-GRO,98,4032,117,37,550,60787
01/10/2016,2016,10,1,6932,CRL,RBA,CRL-RBA,187,7882,172,138,1200,68714
01/10/2016,2016,10,1,7000,FCO,BRU,FCO-BRU,97,4300,158,30,390,62365
01/10/2016,2016,10,1,7010,BRU,FCO,BRU-FCO,101,4080,173,23,307,63725
01/10/2016,2016,10,1,7024,WMI,RYG,WMI-RYG,85,3580,165,65,850,62056
01/10/2016,2016,10,1,7045,AGP,DUB,AGP-DUB,158,6853,189,96,1250,69276
01/10/2016,2016,10,1,7069,SKG,CIA,SKG-CIA,85,3530,185,28,360,64614
01/10/2016,2016,10,1,7148,DUB,VNO,DUB-VNO,155,6600,175,76,988,66192
01/10/2016,2016,10,1,7156,DUB,MAD,DUB-MAD,121,5600,187,152,1976,68823
01/10/2016,2016,10,1,7198,HAM,PMI,HAM-PMI,144,6195,187,(null),(null),67934
01/10/2016,2016,10,1,7242,DUB,MLA,DUB-MLA,202,8984,175,141,(null),71834
01/10/2016,2016,10,1,7257,MAD,DUB,MAD-DUB,127,5651,175,71,920,67190
01/10/2016,2016,10,1,7339,BOD,SVQ,BOD-SVQ,84,3650,179,50,650,64415
01/10/2016,2016,10,1,7356,DUB,BSL,DUB-BSL,110,5100,139,71,923,64560
01/10/2016,2016,10,1,7407,CPH,LTN,CPH-LTN,93,3823,177,25,220,64923
01/10/2016,2016,10,1,7412,EIN,FAO,EIN-FAO,170,7400,181,109,1420,69929
01/10/2016,2016,10,1,7465,TUF,OPO,TUF-OPO,101,4372,177,27,350,65031
01/10/2016,2016,10,1,7475,BVA,OPO,BVA-OPO,115,5079,171,18,240,65158
01/10/2016,2016,10,1,7493,GLA,STN,GLA-STN,56,2594,169,24,310,62836
01/10/2016,2016,10,1,7495,GLA,STN,GLA-STN,58,2826,171,30,390,63072
01/10/2016,2016,10,1,7729,RAK,MAD,RAK-MAD,102,4644,176,(null),(null),65612
01/10/2016,2016,10,1,7793,MLA,BLQ,MLA-BLQ,100,4080,158,48,620,63290
01/10/2016,2016,10,1,7844,EDI,CFU,EDI-CFU,197,8410,159,99,1290,69004
01/10/2016,2016,10,1,7845,CFU,EDI,CFU-EDI,205,9133,181,100,1300,70274
01/10/2016,2016,10,1,7893,GOT,EDI,GOT-EDI,95,4140,161,40,520,62728
01/10/2016,2016,10,1,7951,BGY,CTA,BGY-CTA,87,3900,188,45,590,65993
01/10/2016,2016,10,1,7973,STN,BSL,STN-BSL,73,3400,154,66,860,65122
01/10/2016,2016,10,1,8023,CRL,CCF,CRL-CCF,85,3810,168,60,410,65557
01/10/2016,2016,10,1,8024,CCF,CRL,CCF-CRL,87,3492,169,62,809,62764
01/10/2016,2016,10,1,8166,STN,TFS,STN-TFS,249,10740,180,97,650,72614
01/10/2016,2016,10,1,8183,FUE,STN,FUE-STN,220,9878,173,90,1170,70111
01/10/2016,2016,10,1,8364,SVQ,STN,SVQ-STN,142,6300,175,83,1080,68333
01/10/2016,2016,10,1,8389,ZAD,STN,ZAD-STN,125,5270,171,62,8000,66211
01/10/2016,2016,10,1,8405,STN,WRO,STN-WRO,89,4210,178,20,260,67752
01/10/2016,2016,10,1,8412,BGY,BUD,BGY-BUD,65,3038,176,68,880,64415
01/10/2016,2016,10,1,8506,GDN,RYG,GDN-RYG,70,2940,142,57,750,(null)
01/10/2016,2016,10,1,8518,PMI,RYG,PMI-RYG,182,7447,138,76,990,65104
01/10/2016,2016,10,1,8603,VLC,NRN,VLC-NRN,124,5170,168,31,400,65122
01/10/2016,2016,10,1,8607,BGY,NRN,BGY-NRN,71,2980,175,34,450,63834
01/10/2016,2016,10,1,8638,TPS,PEG,TPS-PEG,62,2860,187,(null),(null),64886
01/10/2016,2016,10,1,8647,TPS,TRS,TPS-TRS,82,3860,184,(null),(null),67553
01/10/2016,2016,10,1,8708,BRI,BVA,BRI-BVA,132,5550,182,74,960,66737
01/10/2016,2016,10,1,8728,MXP,STN,MXP-STN,94,3770,160,16,210,62746
01/10/2016,2016,10,1,8729,STN,MXP,STN-MXP,93,4050,167,27,350,63961
01/10/2016,2016,10,1,8732,MXP,SVQ,MXP-SVQ,142,5920,174,47,620,66410
01/10/2016,2016,10,1,8748,NOC,AGP,NOC-AGP,157,6250,178,(null),(null),66501
01/10/2016,2016,10,1,8802,EIN,TPS,EIN-TPS,140,6372,179,78,1020,68242
01/10/2016,2016,10,1,8804,CGN,AGP,CGN-AGP,173,7130,181,121,1570,68496
01/10/2016,2016,10,1,8807,FUE,BGY,FUE-BGY,220,9920,180,86,1120,72777
01/10/2016,2016,10,1,8826,BDS,TRN,BDS-TRN,89,3920,175,30,390,65884
01/10/2016,2016,10,1,8827,TRN,BDS,TRN-BDS,80,3565,170,27,350,63562
01/10/2016,2016,10,1,9002,GRO,BLL,GRO-BLL,133,5640,171,80,1040,67027
01/10/2016,2016,10,1,9022,WMI,ATH,WMI-ATH,135,5950,176,173,2250,69911
01/10/2016,2016,10,1,9072,ALC,MAN,ALC-MAN,143,5850,181,76,990,66954
01/10/2016,2016,10,1,9086,ALC,GOT,ALC-GOT,179,7846,175,79,1030,68786
01/10/2016,2016,10,1,9112,TRN,BCN,TRN-BCN,68,3190,172,15,200,63326
01/10/2016,2016,10,1,9124,EIN,GRO,EIN-GRO,103,4500,173,44,570,65267
01/10/2016,2016,10,1,9143,FAO,STN,FAO-STN,145,6381,183,102,1320,68641
01/10/2016,2016,10,1,9176,IBZ,DUB,IBZ-DUB,156,6957,174,54,700,67317
01/10/2016,2016,10,1,9185,EMA,ALC,EMA-ALC,138,5660,181,101,1310,66319
01/10/2016,2016,10,1,9205,HAM,OPO,HAM-OPO,171,7340,184,(null),(null),68696
01/10/2016,2016,10,1,9241,GRO,PSA,GRO-PSA,66,2770,165,24,310,62202
01/10/2016,2016,10,1,9283,FAO,STN,FAO-STN,145,6680,185,123,1600,69965
01/10/2016,2016,10,1,9339,CRL,PMI,CRL-PMI,116,4910,179,101,770,66319
01/10/2016,2016,10,1,9361,TPS,GRO,TPS-GRO,93,3660,162,(null),(null),63290
01/10/2016,2016,10,1,9375,GRO,TLL,GRO-TLL,185,7840,174,67,870,68043
01/10/2016,2016,10,1,9434,DUB,CIA,DUB-CIA,155,6971,182,120,1560,70201
01/10/2016,2016,10,1,9473,PSA,MAD,PSA-MAD,122,5500,163,47,610,66809
01/10/2016,2016,10,1,9615,CIA,EIN,CIA-EIN,107,4580,175,47,610,65975
01/10/2016,2016,10,1,9629,POZ,LPL,POZ-LPL,119,5120,173,34,450,65576
01/10/2016,2016,10,1,9633,CIA,BLL,CIA-BLL,123,5200,158,83,1080,64977
01/10/2016,2016,10,1,9639,WRO,CIA,WRO-CIA,101,4250,171,42,550,64542
01/10/2016,2016,10,1,9706,PMI,NYO,PMI-NYO,179,7678,172,87,1130,68351
01/10/2016,2016,10,1,9814,STN,BCN,STN-BCN,113,4517,155,38,490,63689
01/10/2016,2016,10,1,9862,LPL,AGP,LPL-AGP,149,6560,173,123,1600,67353
01/10/2016,2016,10,1,9866,HHN,PMI,HHN-PMI,113,4980,185,110,1430,66628
01/10/2016,2016,10,1,9912,BOH,GRO,BOH-GRO,102,4330,164,59,770,65213
01/10/2016,2016,10,1,9932,CAG,PSA,CAG-PSA,51,2380,179,24,310,66138
01/10/2016,2016,10,1,9948,FAO,ORK,FAO-ORK,141,6160,186,109,1420,68460
01/10/2016,2016,10,1,9966,MAD,PMO,MAD-PMO,120,5410,173,63,820,66664
01/10/2016,2016,10,1,1,DUB,DUB,DUB-DUB,40,1820,(null),(null),(null),(null)
01/10/2016,2016,10,1,3,MAD,STN,MAD-STN,113,2870,(null),(null),(null),(null)
01/10/2016,2016,10,1,11,STN,ATH,STN-ATH,185,7687,149,43,550,68696
01/10/2016,2016,10,1,12,BGY,HHN,BGY-HHN,55,2150,(null),(null),(null),48633
01/10/2016,2016,10,1,14,ATH,STN,ATH-STN,209,9220,189,83,1080,71399
01/10/2016,2016,10,1,17,SKG,ATH,SKG-ATH,37,1600,163,12,160,61802
01/10/2016,2016,10,1,54,BCN,MRS,BCN-MRS,45,2370,163,(null),(null),64306
01/10/2016,2016,10,1,59,NYO,STN,NYO-STN,136,5668,135,35,450,63381
01/10/2016,2016,10,1,60,MAN,EMA,MAN-EMA,23,990,(null),(null),(null),49739
01/10/2016,2016,10,1,73,CCF,STN,CCF-STN,92,3920,158,91,1190,63544
01/10/2016,2016,10,1,108,SNN,STN,SNN-STN,72,3102,130,21,280,59807
01/10/2016,2016,10,1,132,SXF,BCN,SXF-BCN,143,6150,180,72,940,67607
01/10/2016,2016,10,1,143,LGW,DUB,LGW-DUB,50,2476,157,(null),(null),61639
01/10/2016,2016,10,1,153,LBA,DUB,LBA-DUB,39,1890,179,14,180,63834
01/10/2016,2016,10,1,170,SXF,ATH,SXF-ATH,144,6340,180,103,1340,68605
01/10/2016,2016,10,1,171,ATH,SXF,ATH-SXF,153,7200,184,115,1500,71399
01/10/2016,2016,10,1,202,DUB,STN,DUB-STN,58,2590,169,10,130,61893
01/10/2016,2016,10,1,203,STN,DUB,STN-DUB,54,2500,169,14,180,62474
01/10/2016,2016,10,1,310,TSR,CRL,TSR-CRL,121,4950,153,41,530,63344
01/10/2016,2016,10,1,328,OTP,SXF,OTP-SXF,112,4911,161,(null),(null),64251
01/10/2016,2016,10,1,406,CPH,CIA,CPH-CIA,139,5380,167,87,(null),65013
01/10/2016,2016,10,1,442,DUB,LPL,DUB-LPL,31,1600,132,7,91,57630
01/10/2016,2016,10,1,555,MAN,DUB,MAN-DUB,31,1700,166,19,240,62673
01/10/2016,2016,10,1,588,STN,PSA,STN-PSA,101,4785,160,29,380,65684
01/10/2016,2016,10,1,604,CPH,BUD,CPH-BUD,89,3814,163,61,450,63979
01/10/2016,2016,10,1,605,BUD,CPH,BUD-CPH,91,3900,179,(null),(null),65957
01/10/2016,2016,10,1,633,CPH,DUB,CPH-DUB,114,5360,165,83,870,68424
01/10/2016,2016,10,1,651,PIK,FAO,PIK-FAO,166,7090,174,93,1210,68605
01/10/2016,2016,10,1,656,AGP,PIK,AGP-PIK,179,8131,179,88,1140,69639
01/10/2016,2016,10,1,664,DUB,BHX,DUB-BHX,40,2080,177,47,611,62836
01/10/2016,2016,10,1,669,BHX,DUB,BHX-DUB,39,1720,137,6,80,58537
01/10/2016,2016,10,1,805,STN,NOC,STN-NOC,64,3008,174,14,180,64523
01/10/2016,2016,10,1,816,DUB,EDI,DUB-EDI,38,1760,169,80,1040,62002
01/10/2016,2016,10,1,857,RYG,DUB,RYG-DUB,115,5010,186,66,860,66918
01/10/2016,2016,10,1,902,ORK,STN,ORK-STN,61,2810,173,19,250,62601
01/10/2016,2016,10,1,905,STN,ORK,STN-ORK,63,2644,160,27,350,61766
01/10/2016,2016,10,1,982,STN,PSR,STN-PSR,125,5560,161,52,680,67535
01/10/2016,2016,10,1,1020,CTA,TRN,CTA-TRN,97,4200,188,63,820,66501
01/10/2016,2016,10,1,1030,TRN,CTA,TRN-CTA,97,4073,174,38,430,64687
01/10/2016,2016,10,1,1084,BVA,LIS,BVA-LIS,134,5900,178,27,360,66628
01/10/2016,2016,10,1,1085,BLQ,CTA,BLQ-CTA,77,3280,181,53,689,65158
01/10/2016,2016,10,1,1123,TFS,SCQ,TFS-SCQ,146,5890,166,42,540,65430
01/10/2016,2016,10,1,1144,SXF,MAN,SXF-MAN,109,4690,181,63,820,65213
01/10/2016,2016,10,1,1182,SNN,LGW,SNN-LGW,65,2780,127,31,400,59716
01/10/2016,2016,10,1,1203,PMI,STN,PMI-STN,125,5610,184,114,1480,67607
01/10/2016,2016,10,1,1236,ATH,JTR,ATH-JTR,30,1350,184,58,750,63163
01/10/2016,2016,10,1,1365,RBA,STN,RBA-STN,174,7886,171,77,1010,69222
01/10/2016,2016,10,1,1385,PGF,CRL,PGF-CRL,79,3637,175,(null),(null),64233
01/10/2016,2016,10,1,1395,RYG,STN,RYG-STN,101,4170,187,68,880,64850
01/10/2016,2016,10,1,1404,CGN,WMI,CGN-WMI,74,3390,167,26,340,65757
01/10/2016,2016,10,1,1442,DUB,LPL,DUB-LPL,34,1640,163,33,429,61168
01/10/2016,2016,10,1,1452,DUB,BRU,DUB-BRU,76,3410,167,25,325,62746
01/10/2016,2016,10,1,1453,BRU,DUB,BRU-DUB,72,3660,159,40,520,65975
01/10/2016,2016,10,1,1503,LBA,GDN,LBA-GDN,105,4580,173,31,410,65322
01/10/2016,2016,10,1,1516,FSC,BVA,FSC-BVA,101,4120,173,(null),(null),63997
01/10/2016,2016,10,1,1572,SXF,SDR,SXF-SDR,162,7090,179,64,830,68623
01/10/2016,2016,10,1,1573,SDR,SXF,SDR-SXF,122,5520,176,(null),(null),66464
01/10/2016,2016,10,1,1757,VLC,EMA,VLC-EMA,136,5990,181,61,790,68206
01/10/2016,2016,10,1,1905,STN,BRI,STN-BRI,140,6120,172,71,920,69566
01/10/2016,2016,10,1,1919,VLC,CRL,VLC-CRL,116,5060,174,52,680,65920
01/10/2016,2016,10,1,1932,CIA,NYO,CIA-NYO,145,5790,182,89,1160,67263
01/10/2016,2016,10,1,1956,EMA,FAO,EMA-FAO,153,6290,173,135,1750,67462
01/10/2016,2016,10,1,1957,FAO,EMA,FAO-EMA,174,7310,185,(null),(null),68260
01/10/2016,2016,10,1,2014,PRG,STN,PRG-STN,104,4500,162,30,390,64596
01/10/2016,2016,10,1,2040,CTA,TSF,CTA-TSF,84,3820,179,60,780,64542
01/10/2016,2016,10,1,2051,MAD,PMI,MAD-PMI,57,2510,168,17,220,62347
01/10/2016,2016,10,1,2054,PMI,MAD,PMI-MAD,64,3010,173,59,770,64723
01/10/2016,2016,10,1,2087,BGY,LIS,BGY-LIS,159,6830,179,31,400,67734
01/10/2016,2016,10,1,2102,OTP,CRL,OTP-CRL,155,6280,178,62,810,67644
01/10/2016,2016,10,1,2122,PRG,CRL,PRG-CRL,68,3283,159,42,546,62619
01/10/2016,2016,10,1,2233,BCN,NDR,BCN-NDR,76,3690,176,70,910,66446
01/10/2016,2016,10,1,2244,STN,VNO,STN-VNO,126,5150,173,25,330,64687
01/10/2016,2016,10,1,2281,STN,WMI,STN-WMI,107,4810,180,32,420,65793
01/10/2016,2016,10,1,2301,SNN,BVA,SNN-BVA,74,3300,108,23,300,60115
01/10/2016,2016,10,1,2315,BTS,STN,BTS-STN,122,4910,166,44,580,63997
01/10/2016,2016,10,1,2332,LBA,KRK,LBA-KRK,119,4900,175,56,730,66283
01/10/2016,2016,10,1,2372,STN,GDN,STN-GDN,99,4360,172,32,420,65122
01/10/2016,2016,10,1,2575,AGP,EIN,AGP-EIN,150,6889,181,111,1440,69004
01/10/2016,2016,10,1,2593,AGP,SDR,AGP-SDR,81,3640,178,36,470,66573
01/10/2016,2016,10,1,2594,SDR,AGP,SDR-AGP,68,2710,176,39,510,63109
01/10/2016,2016,10,1,2599,SXF,RIX,SXF-RIX,70,2960,168,35,460,63453
01/10/2016,2016,10,1,2600,RIX,SXF,RIX-SXF,92,3765,153,26,340,62709
01/10/2016,2016,10,1,2606,SXF,TSF,SXF-TSF,83,3430,168,58,750,63889
01/10/2016,2016,10,1,2828,CRL,REU,CRL-REU,105,4440,161,79,660,65721
01/10/2016,2016,10,1,2917,BRU,BCN,BRU-BCN,103,4280,178,21,307,64433
01/10/2016,2016,10,1,2925,BRU,LIS,BRU-LIS,156,6560,187,55,720,67970
